t,target,rpm,throttle,trim,kp,kd,db
0.079,0.0,139.0,0.000,+0.000,0.002,0.03,15
0.183,0.0,142.8,0.000,+0.000,0.002,0.03,15
0.286,0.0,136.9,0.000,+0.000,0.002,0.03,15
0.390,0.0,105.5,0.000,+0.000,0.002,0.03,15
0.493,0.0,105.5,0.000,+0.000,0.002,0.03,15
0.599,0.0,105.5,0.000,+0.000,0.002,0.03,15
0.702,0.0,0.0,0.000,+0.000,0.002,0.03,15
0.806,0.0,0.0,0.000,+0.000,0.002,0.03,15
0.909,0.0,0.0,0.000,+0.000,0.002,0.03,15
1.013,0.0,0.0,0.000,+0.000,0.002,0.03,15
1.116,0.0,0.0,0.000,+0.000,0.002,0.03,15
1.219,0.0,0.0,0.000,+0.000,0.002,0.03,15
1.321,0.0,0.0,0.000,+0.000,0.002,0.03,15
1.426,0.0,0.0,0.000,+0.000,0.002,0.03,15
1.528,0.0,0.0,0.000,+0.000,0.002,0.03,15
1.635,0.0,0.0,0.000,+0.000,0.002,0.03,15
1.737,0.0,0.0,0.000,+0.000,0.002,0.03,15
1.842,0.0,0.0,0.000,+0.000,0.002,0.03,15
1.944,0.0,0.0,0.000,+0.000,0.002,0.03,15
2.049,0.0,0.0,0.000,+0.000,0.002,0.03,15
2.151,0.0,0.0,0.000,+0.000,0.002,0.03,15
2.254,0.0,0.0,0.000,+0.000,0.002,0.03,15
2.356,0.0,0.0,0.000,+0.000,0.002,0.03,15
2.460,0.0,0.0,0.000,+0.000,0.002,0.03,15
2.563,0.0,0.0,0.000,+0.000,0.002,0.03,15
2.669,0.0,0.0,0.000,+0.000,0.002,0.03,15
2.770,0.0,0.0,0.000,+0.000,0.002,0.03,15
2.874,0.0,0.0,0.000,+0.000,0.002,0.03,15
2.975,0.0,0.0,0.000,+0.000,0.002,0.03,15
3.077,0.0,0.0,0.000,+0.000,0.002,0.03,15
3.180,0.0,0.0,0.000,+0.000,0.002,0.03,15
3.284,0.0,0.0,0.000,+0.000,0.002,0.03,15
3.387,0.0,0.0,0.000,+0.000,0.002,0.03,15
3.491,0.0,0.0,0.000,+0.000,0.002,0.03,15
3.591,0.0,0.0,0.000,+0.000,0.002,0.03,15
3.696,0.0,0.0,0.000,+0.000,0.002,0.03,15
3.797,0.0,0.0,0.000,+0.000,0.002,0.03,15
3.901,0.0,0.0,0.000,+0.000,0.002,0.03,15
4.003,0.0,0.0,0.000,+0.000,0.002,0.03,15
4.108,0.0,0.0,0.000,+0.000,0.002,0.03,15
4.210,0.0,0.0,0.000,+0.000,0.002,0.03,15
4.317,0.0,0.0,0.000,+0.000,0.002,0.03,15
4.419,0.0,0.0,0.000,+0.000,0.002,0.03,15
4.524,0.0,0.0,0.000,+0.000,0.002,0.03,15
4.626,0.0,0.0,0.000,+0.000,0.002,0.03,15
4.730,1000.0,0.0,8.281,+0.800,0.002,0.03,15
4.835,1000.0,10.9,9.081,+1.600,0.002,0.03,15
4.939,1000.0,14.7,9.246,+2.400,0.002,0.03,15
5.045,1000.0,508.9,9.081,+1.600,0.002,0.03,15
5.150,1000.0,731.7,8.281,+0.800,0.002,0.03,15
5.250,1000.0,870.4,7.481,+0.000,0.002,0.03,15
5.355,1000.0,963.6,6.681,-0.800,0.002,0.03,15
5.457,1000.0,1007.3,5.881,-1.600,0.002,0.03,15
5.564,1000.0,1020.0,5.240,-2.241,0.002,0.03,15
5.666,1000.0,1008.9,5.841,-1.640,0.002,0.03,15
5.771,1000.0,950.9,6.641,-0.840,0.002,0.03,15
5.873,1000.0,1014.3,5.841,-1.640,0.002,0.03,15
5.978,1000.0,1023.2,5.099,-2.382,0.002,0.03,15
6.080,1000.0,1013.2,5.795,-1.686,0.002,0.03,15
6.185,1000.0,1003.5,5.795,-1.686,0.002,0.03,15
6.288,1000.0,1004.7,5.795,-1.686,0.002,0.03,15
6.390,1000.0,1003.0,5.795,-1.686,0.002,0.03,15
6.492,1000.0,1000.2,5.795,-1.686,0.002,0.03,15
6.599,1000.0,1001.2,5.795,-1.686,0.002,0.03,15
6.702,1000.0,996.8,5.795,-1.686,0.002,0.03,15
6.804,1000.0,1001.8,5.795,-1.686,0.002,0.03,15
6.906,1000.0,943.5,6.595,-0.886,0.002,0.03,15
7.013,1000.0,957.2,6.271,-1.210,0.002,0.03,15
7.116,1000.0,1023.9,5.471,-2.010,0.002,0.03,15
7.218,1000.0,1026.5,5.341,-2.141,0.002,0.03,15
7.323,1000.0,958.5,6.141,-1.341,0.002,0.03,15
7.427,1000.0,1007.0,5.341,-2.141,0.002,0.03,15
7.530,1000.0,1002.7,5.341,-2.141,0.002,0.03,15
7.634,1000.0,989.2,5.341,-2.141,0.002,0.03,15
7.737,1000.0,984.0,5.853,-1.628,0.002,0.03,15
7.839,1000.0,977.2,6.101,-1.380,0.002,0.03,15
7.943,1000.0,933.7,6.901,-0.580,0.002,0.03,15
8.050,1000.0,1007.4,6.101,-1.380,0.002,0.03,15
8.152,1000.0,1028.5,5.301,-2.180,0.002,0.03,15
8.257,1000.0,1022.0,5.451,-2.030,0.002,0.03,15
8.361,1000.0,953.1,6.251,-1.230,0.002,0.03,15
8.466,1000.0,1012.4,5.451,-2.030,0.002,0.03,15
8.568,1000.0,1008.8,5.451,-2.030,0.002,0.03,15
8.675,1000.0,1003.6,5.451,-2.030,0.002,0.03,15
8.777,1000.0,992.1,5.451,-2.030,0.002,0.03,15
8.884,1000.0,937.1,6.251,-1.230,0.002,0.03,15
8.986,1000.0,987.8,5.451,-2.030,0.002,0.03,15
9.093,1000.0,988.9,5.451,-2.030,0.002,0.03,15
9.195,1000.0,935.2,6.251,-1.230,0.002,0.03,15
9.300,1000.0,984.6,5.451,-2.030,0.002,0.03,15
9.402,1000.0,991.3,4.989,-2.492,0.002,0.03,15
9.507,1000.0,975.5,5.771,-1.710,0.002,0.03,15
9.609,1000.0,972.5,5.918,-1.564,0.002,0.03,15
9.714,1000.0,974.8,5.898,-1.583,0.002,0.03,15
9.816,1000.0,931.1,6.698,-0.783,0.002,0.03,15
9.920,1000.0,999.9,5.898,-1.583,0.002,0.03,15
10.025,1000.0,1008.8,5.898,-1.583,0.002,0.03,15
10.130,1000.0,962.5,6.698,-0.783,0.002,0.03,15
10.230,1000.0,1020.1,5.898,-1.583,0.002,0.03,15
10.335,1000.0,1036.2,5.343,-2.138,0.002,0.03,15
10.437,1000.0,1020.9,5.761,-1.720,0.002,0.03,15
10.544,1000.0,964.6,6.561,-0.920,0.002,0.03,15
10.648,1000.0,1023.6,5.761,-1.720,0.002,0.03,15
10.753,1000.0,1032.6,5.424,-2.058,0.002,0.03,15
10.855,1000.0,1025.2,5.597,-1.884,0.002,0.03,15
10.958,1000.0,959.9,6.397,-1.084,0.002,0.03,15
11.062,1000.0,1019.3,5.597,-1.884,0.002,0.03,15
11.165,1000.0,1019.8,5.542,-1.939,0.002,0.03,15
11.267,1000.0,1019.6,5.510,-1.971,0.002,0.03,15
11.372,1000.0,1008.6,6.097,-1.384,0.002,0.03,15
11.474,1000.0,954.7,6.897,-0.584,0.002,0.03,15
11.579,1000.0,1024.6,6.097,-1.384,0.002,0.03,15
11.681,1000.0,1042.1,5.489,-1.992,0.002,0.03,15
11.786,1000.0,1038.5,5.520,-1.961,0.002,0.03,15
11.888,1000.0,1023.5,5.923,-1.558,0.002,0.03,15
11.993,1000.0,1022.8,5.898,-1.583,0.002,0.03,15
12.093,1000.0,1018.5,5.989,-1.492,0.002,0.03,15
12.196,1000.0,1023.0,5.809,-1.672,0.002,0.03,15
12.300,1000.0,969.0,6.609,-0.872,0.002,0.03,15
12.407,1000.0,1030.8,5.809,-1.672,0.002,0.03,15
12.509,1000.0,985.6,6.609,-0.872,0.002,0.03,15
12.614,1000.0,1044.3,5.809,-1.672,0.002,0.03,15
12.714,1000.0,1049.9,5.541,-1.940,0.002,0.03,15
12.821,1000.0,1040.4,5.746,-1.736,0.002,0.03,15
12.923,1000.0,1034.7,5.848,-1.633,0.002,0.03,15
13.028,1000.0,1028.7,5.969,-1.512,0.002,0.03,15
13.130,1000.0,1032.9,5.778,-1.703,0.002,0.03,15
13.233,1000.0,1028.7,5.845,-1.636,0.002,0.03,15
13.334,1000.0,976.6,6.645,-0.836,0.002,0.03,15
13.438,1000.0,984.3,6.446,-1.035,0.002,0.03,15
13.541,1000.0,1004.1,5.975,-1.506,0.002,0.03,15
13.645,1000.0,1063.5,5.175,-2.306,0.002,0.03,15
13.748,2000.0,1043.3,8.916,-1.506,0.002,0.03,15
13.853,2000.0,1020.4,9.716,-0.706,0.002,0.03,15
13.955,2000.0,1169.9,8.916,-1.506,0.002,0.03,15
14.060,2000.0,1189.1,9.716,-0.706,0.002,0.03,15
14.164,2000.0,1324.7,8.916,-1.506,0.002,0.03,15
14.271,2000.0,1375.9,8.628,-1.794,0.002,0.03,15
14.373,2000.0,1415.9,8.597,-1.825,0.002,0.03,15
14.478,2000.0,1433.3,9.206,-1.216,0.002,0.03,15
14.580,2000.0,1462.0,9.424,-0.998,0.002,0.03,15
14.683,2000.0,1422.1,10.224,-0.198,0.002,0.03,15
14.785,2000.0,1534.6,9.424,-0.998,0.002,0.03,15
14.888,2000.0,1578.5,8.951,-1.472,0.002,0.03,15
14.988,2000.0,1517.5,9.751,-0.672,0.002,0.03,15
15.093,2000.0,1607.3,8.951,-1.472,0.002,0.03,15
15.196,2000.0,1622.9,9.238,-1.185,0.002,0.03,15
15.300,2000.0,1629.4,9.782,-0.640,0.002,0.03,15
15.405,2000.0,1652.4,9.787,-0.636,0.002,0.03,15
15.510,2000.0,1669.7,9.929,-0.493,0.002,0.03,15
15.612,2000.0,1694.6,9.793,-0.630,0.002,0.03,15
15.717,2000.0,1625.3,10.593,+0.170,0.002,0.03,15
15.819,2000.0,1643.0,10.774,+0.352,0.002,0.03,15
15.924,2000.0,1768.2,9.974,-0.448,0.002,0.03,15
16.026,2000.0,1797.2,9.511,-0.911,0.002,0.03,15
16.130,2000.0,1704.2,10.311,-0.111,0.002,0.03,15
16.235,2000.0,1807.2,9.511,-0.911,0.002,0.03,15
16.339,2000.0,1713.5,10.311,-0.111,0.002,0.03,15
16.442,2000.0,1719.2,10.702,+0.280,0.002,0.03,15
16.548,2000.0,1839.9,9.902,-0.520,0.002,0.03,15
16.651,2000.0,1748.7,10.702,+0.280,0.002,0.03,15
16.755,2000.0,1762.6,10.762,+0.339,0.002,0.03,15
16.860,2000.0,1870.9,9.962,-0.461,0.002,0.03,15
16.964,2000.0,1870.4,10.236,-0.186,0.002,0.03,15
17.067,2000.0,1876.7,10.294,-0.128,0.002,0.03,15
17.173,2000.0,1881.1,10.401,-0.022,0.002,0.03,15
17.273,2000.0,1887.0,10.449,+0.026,0.002,0.03,15
17.378,2000.0,1896.5,10.372,-0.051,0.002,0.03,15
17.483,2000.0,1894.0,10.657,+0.235,0.002,0.03,15
