t,target,rpm,mps,throttle,trim,event
0.000,0,0.0,0.000,0.000,+0.000,
0.027,0,0.0,0.000,0.000,+0.000,
0.053,0,0.0,0.000,0.000,+0.000,
0.080,0,0.0,0.000,0.000,+0.000,
0.106,0,0.0,0.000,0.000,+0.000,
0.134,0,0.0,0.000,0.000,+0.000,
0.161,0,0.0,0.000,0.000,+0.000,
0.187,0,0.0,0.000,0.000,+0.000,
0.235,0,0.0,0.000,0.000,+0.000,
0.262,0,0.0,0.000,0.000,+0.000,
0.288,0,0.0,0.000,0.000,+0.000,
0.336,0,0.0,0.000,0.000,+0.000,
0.362,0,0.0,0.000,0.000,+0.000,
0.389,0,0.0,0.000,0.000,+0.000,
0.446,0,0.0,0.000,0.000,+0.000,
0.473,0,0.0,0.000,0.000,+0.000,
0.499,0,0.0,0.000,0.000,+0.000,
0.545,0,0.0,0.000,0.000,+0.000,
0.571,0,0.0,0.000,0.000,+0.000,
0.598,0,0.0,0.000,0.000,+0.000,
0.622,0,0.0,0.000,0.000,+0.000,
0.655,0,0.0,0.000,0.000,+0.000,
0.682,0,0.0,0.000,0.000,+0.000,
0.708,0,0.0,0.000,0.000,+0.000,
0.751,0,0.0,0.000,0.000,+0.000,
0.777,0,0.0,0.000,0.000,+0.000,
0.804,0,0.0,0.000,0.000,+0.000,
0.828,0,0.0,0.000,0.000,+0.000,
0.866,0,0.0,0.000,0.000,+0.000,
0.893,0,0.0,0.000,0.000,+0.000,
0.919,0,0.0,0.000,0.000,+0.000,
0.955,0,0.0,0.000,0.000,+0.000,
0.981,0,0.0,0.000,0.000,+0.000,
1.008,0,0.0,0.000,0.000,+0.000,
1.032,0,0.0,0.000,0.000,+0.000,
1.065,0,0.0,0.000,0.000,+0.000,
1.092,0,0.0,0.000,0.000,+0.000,
1.118,0,0.0,0.000,0.000,+0.000,
1.161,0,0.0,0.000,0.000,+0.000,
1.187,0,0.0,0.000,0.000,+0.000,
1.214,0,0.0,0.000,0.000,+0.000,
1.238,0,0.0,0.000,0.000,+0.000,
1.271,0,0.0,0.000,0.000,+0.000,
1.298,0,0.0,0.000,0.000,+0.000,
1.325,0,0.0,0.000,0.000,+0.000,
1.377,0,0.0,0.000,0.000,+0.000,
1.404,0,0.0,0.000,0.000,+0.000,
1.430,0,0.0,0.000,0.000,+0.000,
1.481,0,0.0,0.000,0.000,+0.000,
1.507,0,0.0,0.000,0.000,+0.000,
1.534,0,0.0,0.000,0.000,+0.000,
1.581,0,0.0,0.000,0.000,+0.000,
1.608,0,0.0,0.000,0.000,+0.000,
1.634,0,0.0,0.000,0.000,+0.000,
1.659,0,0.0,0.000,0.000,+0.000,
1.692,0,0.0,0.000,0.000,+0.000,
1.718,0,0.0,0.000,0.000,+0.000,
1.745,0,0.0,0.000,0.000,+0.000,
1.792,0,0.0,0.000,0.000,+0.000,
1.819,0,0.0,0.000,0.000,+0.000,
1.850,0,0.0,0.000,0.000,+0.000,
1.893,0,0.0,0.000,0.000,+0.000,
1.919,0,0.0,0.000,0.000,+0.000,
1.946,0,0.0,0.000,0.000,+0.000,
1.972,0,0.0,0.000,0.000,+0.000,
2.010,0,0.0,0.000,0.000,+0.000,
2.037,0,0.0,0.000,0.000,+0.000,
2.061,0,0.0,0.000,0.000,+0.000,
2.102,0,0.0,0.000,0.000,+0.000,
2.128,0,0.0,0.000,0.000,+0.000,
2.155,0,0.0,0.000,0.000,+0.000,
2.197,0,0.0,0.000,0.000,+0.000,
2.223,0,0.0,0.000,0.000,+0.000,
